"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-05","2009-01-05",3467.89,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-06","2009-01-06",3467.89,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-07","2009-01-07",3520.53,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-08","2009-01-08",3520.53,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-09","2009-01-09",3520.53,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-10","2009-01-10","null","China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-11","2009-01-11","null","China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-12","2009-01-12",3567.89,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-13","2009-01-13",3568.95,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-14","2009-01-14",3568.95,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-15","2009-01-15",3574.21,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-16","2009-01-16",3570,"China Sources, Gro Intelligence"
"Cash Prices (currency/mass)",15851987,"Soybeans",270,"China, mainland",1231,"World",0,"Chinese Yuan per tonne",883,"daily",1,"2009-01-17","2009-01-17","null","China Sources, Gro Intelligence"
