"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2003-10-01","2004-09-30",2865000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2004-10-01","2005-09-30",2328000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2005-10-01","2006-09-30",2580000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2006-10-01","2007-09-30",2183000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2007-10-01","2008-09-30",1920000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2008-10-01","2009-09-30",1837000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2009-10-01","2010-09-30",1677000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2010-06-01","2011-09-30",258018000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2011-06-01","2012-09-30",272989000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2012-06-01","2013-09-30",328848000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2013-06-01","2014-09-30",311466000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2014-06-01","2015-09-30",377485000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2015-06-01","2016-09-30",397780000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2016-06-01","2017-09-30",384382000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2017-06-01","2018-09-30",393980000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2018-06-01","2019-09-30",390173000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2019-06-01","2020-09-30",397263000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2020-06-01","2021-09-30",395654000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2021-06-01","2022-09-30",409629000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2022-06-01","2023-09-30",411541000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2023-06-01","2024-09-30",422663000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2024-06-01","2025-06-30",138340000,"China Sources, Gro Intelligence"
