"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1950-01-01","1950-12-31",543979233,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1951-01-01","1951-12-31",553613988,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1952-01-01","1952-12-31",564954522,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1953-01-01","1953-12-31",577378682,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1954-01-01","1954-12-31",589936004,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1955-01-01","1955-12-31",603320147,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1956-01-01","1956-12-31",616283022,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1957-01-01","1957-12-31",630003025,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1958-01-01","1958-12-31",643791581,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1959-01-01","1959-12-31",652179194,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1960-01-01","1960-12-31",654170692,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1961-01-01","1961-12-31",655260380,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1962-01-01","1962-12-31",664614650,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1963-01-01","1963-12-31",683903557,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1964-01-01","1964-12-31",704593772,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1965-01-01","1965-12-31",723846349,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1966-01-01","1966-12-31",742948541,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1967-01-01","1967-12-31",761006260,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1968-01-01","1968-12-31",780371955.9999999,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1969-01-01","1969-12-31",801430975.9999999,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1970-01-01","1970-12-31",822534450,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1971-01-01","1971-12-31",843285424.0000001,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1972-01-01","1972-12-31",862840402.9999999,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1973-01-01","1973-12-31",881652080,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1974-01-01","1974-12-31",899367640,"FAO, Gro Intelligence"
