"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2014-07-01","2014-07-31",1110000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2014-08-01","2014-08-31",1330000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2014-09-01","2014-09-30",1260000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2014-10-01","2014-10-31",1170000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2014-11-01","2014-11-30",1160000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2014-12-01","2014-12-31",1370000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-01-01","2015-01-31",1610000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-02-01","2015-02-28",770000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-03-01","2015-03-31",1210000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-04-01","2015-04-30",1060000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-05-01","2015-05-31",1190000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-06-01","2015-06-30",1190000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-07-01","2015-07-31",1390000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-08-01","2015-08-31",1400000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-09-01","2015-09-30",1480000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-10-01","2015-10-31",1280000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-11-01","2015-11-30",1330000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2015-12-01","2015-12-31",1540000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-01-01","2016-01-31",1520000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-02-01","2016-02-29",780000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-03-01","2016-03-31",1200000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-04-01","2016-04-30",1180000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-05-01","2016-05-31",1260000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-06-01","2016-06-30",1180000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-07-01","2016-07-31",1170000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-08-01","2016-08-31",1330000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-09-01","2016-09-30",1230000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-10-01","2016-10-31",1290000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-11-01","2016-11-30",1590000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2016-12-01","2016-12-31",1550000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-01-01","2017-01-31",1120000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-02-01","2017-02-28",890000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-03-01","2017-03-31",1130000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-04-01","2017-04-30",1330000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-05-01","2017-05-31",1350000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-06-01","2017-06-30",1470000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-07-01","2017-07-31",1340000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-08-01","2017-08-31",1480000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-09-01","2017-09-30",1430000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-10-01","2017-10-31",1300000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-11-01","2017-11-30",1370000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2017-12-01","2017-12-31",1610000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-01-01","2018-01-31",1660000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-02-01","2018-02-28",850000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-03-01","2018-03-31",1350000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-04-01","2018-04-30",1370000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-05-01","2018-05-31",1280000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-06-01","2018-06-30",1260000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-07-01","2018-07-31",1290000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-08-01","2018-08-31",1510000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-09-01","2018-09-30",1420000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-10-01","2018-10-31",1400000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-11-01","2018-11-30",1400000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2018-12-01","2018-12-31",1610000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-01-01","2019-01-31",1600000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-02-01","2019-02-28",730000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-03-01","2019-03-31",1260000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-04-01","2019-04-30",1230000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-05-01","2019-05-31",1430000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-06-01","2019-06-30",1320000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-07-01","2019-07-31",1430000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-08-01","2019-08-31",1540000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-09-01","2019-09-30",1450000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-10-01","2019-10-31",1410000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-11-01","2019-11-30",1610000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2019-12-01","2019-12-31",1650000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-01-01","2020-01-31",1200000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-02-01","2020-02-29",710000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-03-01","2020-03-31",1400000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-04-01","2020-04-30",1640000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-05-01","2020-05-31",1470000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-06-01","2020-06-30",1500000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-07-01","2020-07-31",1740000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-08-01","2020-08-31",1700000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-09-01","2020-09-30",1750000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-10-01","2020-10-31",1710000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-11-01","2020-11-30",1710000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2020-12-01","2020-12-31",1770000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2021-01-01","2021-01-31",1790000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2021-02-01","2021-02-28",1030000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2021-03-01","2021-03-31",1510000,"China Source B, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"monthly",6,"2021-04-01","2021-04-30",1440000,"China Source B, Gro Intelligence"
