"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2008-10-01","2009-09-30",14500000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2009-10-01","2010-09-30",14050000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2010-10-01","2011-09-30",15600000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2011-10-01","2012-09-30",14100000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2012-10-01","2013-09-30",11810000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2013-10-01","2014-09-30",12750000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2014-10-01","2015-09-30",13850000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2015-10-01","2016-09-30",10510000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2016-10-01","2017-09-30",11850000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2017-10-01","2018-09-30",15300000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2018-10-01","2019-09-30",15700000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2019-10-01","2020-09-30",16950000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2020-10-01","2021-09-30",17590000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2021-10-01","2022-09-30",16550000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2022-10-01","2023-09-30",20285000,"China Sources, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2023-10-01","2024-09-30",20650000,"China Sources, Gro Intelligence"
