"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1960-01-01","1960-12-31",3007.12344537862,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1961-01-01","1961-12-31",3066.56286916615,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1962-01-01","1962-12-31",3243.8430775498805,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1963-01-01","1963-12-31",3374.51517105082,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1964-01-01","1964-12-31",3573.94118474743,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1965-01-01","1965-12-31",3827.52710972039,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1966-01-01","1966-12-31",4146.31664631665,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1967-01-01","1967-12-31",4336.42658722171,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1968-01-01","1968-12-31",4695.92339043178,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1969-01-01","1969-12-31",5032.14474262003,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1970-01-01","1970-12-31",5234.2966662115,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1971-01-01","1971-12-31",5609.38259952519,"WDI, Gro Intelligence"
"Gross Domestic Product (GDP) (currency/count)",1090064,"GDP per capita",2142,"United States",1215,,,"US Dollar per capita",210,"annual",9,"1972-01-01","1972-12-31",6094.017989861651,"WDI, Gro Intelligence"
