"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1964-09-01","1965-08-31",773000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1965-09-01","1966-08-31",758000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1966-09-01","1967-08-31",765000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1967-09-01","1968-08-31",753000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1968-09-01","1969-08-31",750000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1969-09-01","1970-08-31",719000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1970-09-01","1971-08-31",701000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1971-09-01","1972-08-31",682000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1972-09-01","1973-08-31",667000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1973-09-01","1974-08-31",653000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1974-09-01","1975-08-31",630000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1975-09-01","1976-08-31",602000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1976-09-01","1977-08-31",616000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1977-09-01","1978-08-31",643000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1978-09-01","1979-08-31",652000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1979-09-01","1980-08-31",650000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1980-09-01","1981-08-31",722000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1981-09-01","1982-08-31",761000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1982-09-01","1983-08-31",679000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1983-09-01","1984-08-31",651000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1984-09-01","1985-08-31","null","USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1984-10-01","1985-09-30",698000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1985-10-01","1986-09-30",735000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1986-10-01","1987-09-30",724000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1987-10-01","1988-09-30",722000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1988-10-01","1989-09-30",747000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1989-10-01","1990-09-30",744000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1990-10-01","1991-09-30",750000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1991-10-01","1992-09-30",750000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1992-10-01","1993-09-30",814000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1993-10-01","1994-09-30",1145000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1994-10-01","1995-09-30",1156000,"USDA PS&D, Gro Intelligence"
"Feed Use",1760032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"1995-10-01","1996-09-30",1035000,"USDA PS&D, Gro Intelligence"
