"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-01-01","2006-01-31",1245093,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-02-01","2006-02-28",727538,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-03-01","2006-03-31",1911536,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-04-01","2006-04-30",1415918,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-05-01","2006-05-31",599486,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-06-01","2006-06-30",203300,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-07-01","2006-07-31",180603,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-08-01","2006-08-31",130403,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-09-01","2006-09-30",249427,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-10-01","2006-10-31",448154,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-11-01","2006-11-30",998898,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2006-12-01","2006-12-31",1774811,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-01-01","2007-01-31",1941671,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-02-01","2007-02-28",1058190,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-03-01","2007-03-31",2057900,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-04-01","2007-04-30",1518026,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-05-01","2007-05-31",634703,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-06-01","2007-06-30",457466,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-07-01","2007-07-31",236606,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-08-01","2007-08-31",50091,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-09-01","2007-09-30",328806,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-10-01","2007-10-31",769935,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-11-01","2007-11-30",1266577,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2007-12-01","2007-12-31",1314554,"China Sources, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,"United States",1215,"tonne",14,"monthly",6,"2008-01-01","2008-01-31",2326369,"China Sources, Gro Intelligence"
