"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2008-10-01","2009-09-30",41098000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2009-10-01","2010-09-30",50338000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2010-10-01","2011-09-30",52339000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2011-10-01","2012-09-30",59231000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2012-10-01","2013-09-30",59865000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2013-10-01","2014-09-30",70364000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2014-10-01","2015-09-30",78350000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2015-10-01","2016-09-30",83230000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2016-10-01","2017-09-30",93495000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2017-10-01","2018-09-30",94093000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2018-10-01","2019-09-30",82537000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2019-10-01","2020-09-30",98532000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2020-10-01","2021-09-30",99740000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2021-10-01","2022-09-30",90501000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2022-10-01","2023-09-30",100846000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China, mainland",1231,,,"tonne",14,"annual",9,"2023-10-01","2024-09-30",102000000,"USDA PS&D, Gro Intelligence"
