"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1960-04-01","1961-09-30",48476000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1961-04-01","1962-03-31","null","USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1961-07-01","1962-09-30",54329000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1962-07-01","1963-09-30",55468000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1963-07-01","1964-09-30",56974000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1964-07-01","1965-09-30",63293000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1965-07-01","1966-09-30",68863000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1966-07-01","1967-09-30",75170000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1967-07-01","1968-09-30",81136000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1968-07-01","1969-09-30",74178000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1969-07-01","1970-09-30",74844000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1970-07-01","1971-09-30",84701000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1971-07-01","1972-09-30",91702000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1972-07-01","1973-09-30",88221000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1973-07-01","1974-09-30",95702000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1974-07-01","1975-09-30",107454000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1975-07-01","1976-09-30",114949000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1976-07-01","1977-09-30",117909000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1977-07-01","1978-09-30",108898000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1978-07-01","1979-09-30",129707000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1979-07-01","1980-09-30",141947000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1980-07-01","1981-09-30",135167000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1981-07-01","1982-09-30",136329000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1982-07-01","1983-09-30",147741000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Cereals",10009,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1983-07-01","1984-09-30",170601000,"USDA PS&D, Gro Intelligence"
