"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1964-10-01","1965-09-30",153000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1965-10-01","1966-09-30",112000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1966-10-01","1967-09-30",164000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1967-10-01","1968-09-30",163000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1968-10-01","1969-09-30",160000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1969-10-01","1970-09-30",154000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1970-10-01","1971-09-30",179000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1971-10-01","1972-09-30",191000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1972-10-01","1973-09-30",195000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1973-10-01","1974-09-30",192000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1974-10-01","1975-09-30",168000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1975-10-01","1976-09-30",169000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1976-10-01","1977-09-30",231000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1977-10-01","1978-09-30",340000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1978-10-01","1979-09-30",285000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1979-10-01","1980-09-30",278000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1980-10-01","1981-09-30",256000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1981-10-01","1982-09-30",247000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1982-10-01","1983-09-30",212000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1983-10-01","1984-09-30",199000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1984-10-01","1985-09-30",252000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1985-10-01","1986-09-30",584000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1986-10-01","1987-09-30",996000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1987-10-01","1988-09-30",930000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1988-10-01","1989-09-30",1041000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1989-10-01","1990-09-30",1067000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1990-10-01","1991-09-30",1055000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1991-10-01","1992-09-30",664000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1992-10-01","1993-09-30",770000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1993-10-01","1994-09-30",1763000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1994-10-01","1995-09-30",2502000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1995-10-01","1996-09-30",2575000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1996-10-01","1997-09-30",2851000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1997-10-01","1998-09-30",2953000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1998-10-01","1999-09-30",3204000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"1999-10-01","2000-09-30",3024000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2000-10-01","2001-09-30",3542000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2001-10-01","2002-09-30",4137000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2002-10-01","2003-09-30",6389000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2003-10-01","2004-09-30",7158000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2004-10-01","2005-09-30",7203000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2005-10-01","2006-09-30",7607000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2006-10-01","2007-09-30",8670000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2007-10-01","2008-09-30",9693000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2008-10-01","2009-09-30",9500000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2009-10-01","2010-09-30",10050000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2010-10-01","2011-09-30",11400000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2011-10-01","2012-09-30",12000000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2012-10-01","2013-09-30",12550000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2013-10-01","2014-09-30",13600000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2014-10-01","2015-09-30",14200000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2015-10-01","2016-09-30",15350000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2016-10-01","2017-09-30",16350000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2017-10-01","2018-09-30",16500000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2018-10-01","2019-09-30",15850000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2019-10-01","2020-09-30",17100000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2020-10-01","2021-09-30",17800000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2021-10-01","2022-09-30",17100000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2022-10-01","2023-09-30",17000000,"USDA PS&D, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Soybean oil",379,"China, mainland",1231,"World",0,"tonne",14,"annual",9,"2023-10-01","2024-09-30",17800000,"USDA PS&D, Gro Intelligence"
