"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1964-09-01","1965-08-31",0,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1965-01-01","1966-08-31",161000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1966-01-01","1967-08-31",165000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1967-01-01","1968-08-31",351000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1968-01-01","1969-08-31",385000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1969-01-01","1970-08-31",472000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1970-01-01","1971-08-31",618000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1971-01-01","1972-08-31",527000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1972-01-01","1973-08-31",967000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1973-01-01","1974-08-31",1245000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1974-01-01","1975-08-31",565000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1975-01-01","1976-08-31",852000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1976-01-01","1977-08-31",1053000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1977-01-01","1978-08-31",851000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1978-01-01","1979-08-31",1220000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1979-01-01","1980-09-30",2869000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1980-01-01","1980-12-31","null","USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1980-09-01","1981-09-30",1615000,"USDA PS&D, Gro Intelligence"
"Import Volume (mass)",30032,"Soybeans",270,"China",100022935,"World",0,"tonne",14,"annual",9,"1981-09-01","1982-09-30",1700000,"USDA PS&D, Gro Intelligence"
