,Year,Cereal Prod,CN Pop,Brazil_Soybean_Production,United States_Soybean_Production,China Soybean Feed Use,gdp_argentina,gdp_brazil,"gdp_china, mainland",gdp_united states,China Soybean Production,China Soybean Import,Soybean Oil Consumption,Trade Balance
27,1977,108898000.0,942581333.0,9541000.0,48097000.0,643000.0,2125.53221974145,1547.6942060653,185.420537363904,9452.57651914511,7260000.0,851000.0,340000.0,0.37
28,1978,129707000.0,955138943.0,10240000.0,50859000.0,652000.0,2139.6379304552897,1716.70772767288,228.519313233137,10564.9482220275,7565000.0,1220000.0,285000.0,-1.18
29,1979,141947000.0,968298969.0,15156000.0,61525000.0,650000.0,2510.5855761737603,1853.01969086922,272.146922693902,11674.1818666548,7460000.0,2869000.0,278000.0,-2.01
30,1980,135167000.0,982372466.0,15200000.0,48921000.0,722000.0,2746.20748417286,1941.2595380596103,312.020377234655,12574.7915062163,7940000.0,1615000.0,256000.0,-1.84
31,1981,136329000.0,997259502.0,12835000.0,54135000.0,761000.0,2763.37518192638,2061.34995420275,291.35823745247103,13976.10539252,9325000.0,1700000.0,247000.0,-0.01
32,1982,147741000.0,1013483166.0,14750000.0,59610000.0,679000.0,2914.91825147004,2118.56410810781,281.499333737952,14433.787727053,9030000.0,1302000.0,212000.0,4.81
33,1983,170601000.0,1029226907.0,15541000.0,44518000.0,651000.0,3727.0480101583794,1448.0097311576098,297.807022526203,15543.8937174925,9760000.0,1360000.0,199000.0,2.57
34,1984,181324000.0,1044172197.0,18278000.0,50644000.0,698000.0,3787.4706790308296,1406.68979969815,302.585824711882,17121.2254849995,10134500.0,1467000.0,252000.0,0.05
35,1985,166603000.0,1060239979.0,14100000.0,57127000.0,735000.0,2919.2835113056203,1287.61240473129,294.78973494214,18236.827726500906,10509000.0,1873000.0,584000.0,-12.5
36,1986,176222000.0,1077770523.0,17300000.0,52868000.0,724000.0,3454.2963342861,1545.92842461268,281.699495234272,19071.2271949295,11614000.0,2203000.0,996000.0,-7.39
