Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China, World,Import,Food Products,AHS Duty Free Tariff  Lines Share (%),0,0,0.087336245,,0,0,0,0,0,0,0,0,0,0.755555556,3.516639131,3.346203346,2.951807229,5.44770206,14.56639566,14.02565881,,,15.60427663,18.36049856,17.66776678,13.54829781,17.2157877,21.22824974,21.46993788,20.95909139
China, World,Import, Intermediate goods,AHS Duty Free Tariff  Lines Share (%),0.316504555,0.379989323,0.387337275,,0.348936925,0.328614762,0.502363268,2.082951241,0.484911257,0.462462324,2.287866255,3.20703904,3.248195447,4.64005726,5.958509705,5.916566013,7.50686436,14.40029099,17.54483141,17.76587114,,,20.69249057,21.68261124,19.71526087,13.79357443,20.25519535,23.71680867,23.81369305,23.55170385
China, World,Import,Miscellaneous,AHS Duty Free Tariff  Lines Share (%),0.073691968,0.062383032,0.088313218,,0.142470437,0.081278786,0.205973223,0.120627262,0.22568732,0.224828935,2.290076336,7.725910064,8.633924887,24.6907502,26.41704899,26.96971797,26.33465876,29.46096654,34.93909192,34.68201234,,,35.59929936,35.85987511,36.60351308,30.25300909,35.17986142,38.35754852,43.55789912,42.79010949
China, World,Import,Hides and Skins,AHS Duty Free Tariff  Lines Share (%),0,0,0,,0,0,0,0,0,0,0,0,0,0,2.928594933,3.53811515,4.109149278,8.766666667,13.4488942,14.19586703,,,14.76657645,19.21353907,19.6992995,11.88891439,16.84919966,20.88794233,21.95376325,21.10877929
China, World,Import,Stone and Glass,AHS Duty Free Tariff  Lines Share (%),2.339728591,2.370532458,2.720637027,,2.289584005,2.177804296,3.070563921,2.465512181,2.069825436,2.276064611,4.456327986,5.510465613,5.337361531,5.823979177,8.411214953,7.332998493,8.348397699,11.58033652,19.08823529,19.65144231,,,21.3343764,22.75422307,22.67913475,15.63876652,20.84500728,24.86902598,24.8477599,24.91956409
China, World,Import,Minerals,AHS Duty Free Tariff  Lines Share (%),23.33333333,23.02371542,21.68256722,,23.92055268,22.87822878,23.14814815,22.00956938,21.09982068,22.05528846,23.40188994,24.76139979,27.34012975,28.18355641,32.05821206,34.3836156,41.8023476,52.09627329,52.03073546,53.21576763,,,51.26658625,55.81336696,50.64550834,41.88851913,44.28676291,44.84020493,44.7080292,45.10660159
China, World,Import,Animal,AHS Duty Free Tariff  Lines Share (%),9.366754617,10.65375303,9.604728482,,10.52631579,11.26307321,14.87039563,14.41812564,13.78718535,13.27510917,12.93077158,12.9249411,11.63779013,20.4073236,26.45444566,25.48761202,27.09731544,27.17124966,27.04203013,26.69601243,,,34.21782178,38.50725398,38.42192691,28.50009247,34.58197611,38.09025963,36.84414327,35.29283217
China, World,Import,Transportation,AHS Duty Free Tariff  Lines Share (%),0,0,0,,0,0,0,0,0,0,0.434593655,0.403846154,0.346083789,0.228617536,0.806451613,0.649979256,1.134997997,2.641071889,7.112828088,7.308854288,,,10.12322437,11.19971646,12.08576998,7.613225896,12.3816899,15.0591057,14.65883416,14.33134766
China, World,Import,Metals,AHS Duty Free Tariff  Lines Share (%),0,0,0,,0,0,0,0,0,0,0.587500918,0.671005838,0.919850765,1.8820059,3.718906997,1.725347994,4.004550626,11.62995595,14.62452671,14.58737121,,,17.3103389,17.41761071,15.95182393,10.81096451,16.15093082,19.88296965,19.79616659,19.70027468
China, World,Import,Plastic or Rubber,AHS Duty Free Tariff  Lines Share (%),0.083542189,0.189259522,0.21978022,,0.213492741,0.198767641,0.259222333,0.280321435,0.155134967,0.134952767,0.152354571,0.133958473,0.148111577,0.091231627,1.95110754,1.720883757,1.501662555,8.652735483,12.99909027,14.11447408,,,16.08156737,16.75857109,17.82336913,10.15788252,17.74193548,20.88505562,21.53364632,21.27543887
