objectID,creator,post_comment,est_depth,photo_time,alternative_loc,location_longitude,location_latitude,photo_date,guessSource,guessCause,image1
20,,,,12:00,,-73.8379818807091,40.6578929726175,5/7/2020,,,
21,,tide water coming to the street from storm drain that has duckbill,,12:00,,-73.8378424058402,40.6577546088202,5/7/2020,,,
22,,,,00:30,Hamilton Beach,-73.8294438094657,40.65345597294,5/7/2020,,,
23,,6th road facing crossbay blvd,,00:39,,-73.8171040999988,40.6090230999993,5/7/2020,,,
24,,,,00:30,,-73.8295335159477,40.6534996859846,5/7/2020,,,
25,,Overland flood current coming from the basin north of 6th rd,,00:41,,-73.8174146999987,40.6090133999993,5/7/2020,,,
26,,,,00:49,,-73.8177030999988,40.6090805999993,5/7/2020,,,
27,,Church road flooded all the way past 7th rd,,00:52,,-73.8179861999988,40.6090884999993,5/7/2020,,,
28,,Overland and storm drain. 19 inches at this map location,,00:55,,-73.8183699999988,40.6093726999993,5/7/2020,,,
29,,Facing crossbay boulevard on 6th road. Overland and storm drain,,00:59,,-73.8371503959156,40.649114442208,5/7/2020,,,
30,,Overland and storm drain runoff from 6th road,,01:00,,-73.8191480999988,40.6086976999993,5/7/2020,,,
31,,Overland and storm drain runoff from 6 road basin,,01:02,,-73.8182756303499,40.6084898528354,5/7/2020,,,
32,,Overland and storm drain runoff from 6th road,,01:05,,-73.8170494058561,40.6083848458861,5/7/2020,,,
33,,"Towards 6th road, storm drain and overland runoff from 6th road",,01:07,,-73.8170287999988,40.6083897999993,5/7/2020,,,
34,,"Overland flooding, storm drain fill up. Picture taken facing crossbay boulevard from Walton road",,01:09,,-73.8167922999988,40.6088955999993,5/7/2020,,,
35,,Overland flooding and storm drain fill up,,01:22,,-73.8170819999987,40.6090249999993,5/7/2020,,,
36,,This was taken 2 hours past high tide.,,03:25,,-73.8300300541326,40.6534249341247,5/8/2020,,,
38,JBEditor,,,16:31,,-73.8414612427671,40.6501010167596,8/8/2020,,,
39,,,3.0,15:00,,-73.7889032595735,40.5921469001554,9/19/2020,,,
40,,,5.0,16:59,,-73.7699444444444,40.5965277777778,9/23/2020,,,
41,,,4.0,17:06,,-73.7693611111111,40.6053611111111,9/23/2020,,,
42,,,6.0,17:09,,-73.7692222222222,40.6062222222222,9/23/2020,,,
43,,,2.0,17:12,,-73.7695277777778,40.60625,9/23/2020,,,
44,,,5.0,17:14,,-73.7693888888889,40.6065,9/23/2020,,,
45,,,7.0,17:17,,-73.7684447445356,40.6094822999698,9/23/2020,,,
46,,,5.0,17:38,,-73.7645049774945,40.595232304264,9/23/2020,,,
47,,,6.0,17:46,,-73.7685001953453,40.5949617772329,9/23/2020,,,
48,,,3.0,17:70,,-73.7881388888889,40.5921388888889,9/23/2020,,,
49,,"this particular area has been flooding for years, causing sinkholes in the road.",5.0,21:30,,-73.8142100497093,40.5875595690976,10/12/2020,,,
50,,,10.0,14:10,,-73.8310916690011,40.6586999576255,10/17/2020,,,
51,,,8.0,14:10,,-73.8315727508593,40.6543636144493,10/18/2020,,,
53,,,,13:00,City Island ,-73.7895283819132,40.8480257312285,8/14/2020,,,
54,,,,09:10,,-73.9665349405103,40.6473300469328,8/31/2020,,,
55,,,12.0,08:30,,-73.8314519793873,40.6588000108762,10/30/2020,,,
56,,,4.0,13:20,,-73.8016417,40.863975,11/1/2020,,,
57,,,4.0,12:51,,-73.7879806,40.8519083,11/1/2020,,,
58,,,4.0,12:48,,-73.7869667,40.8504194,11/1/2020,,,
59,,,3.0,12:59,,-73.7912556,40.856325,11/1/2020,,,
60,,"High tide as 7:45 am but this appeared closer to 10:30, not corresponding with any increase in rainfall. ",4.0,10:07,,-74.006325,40.5806556,10/30/2020,,,
61,,,2.0,10:03,,-74.0020583,40.5810694,10/30/2020,,,
62,,,2.0,08:50,,-74.0018722,40.5761083,10/30/2020,,,
63,,Water was much higher earlier. ,6.0,07:14,,-73.8523638854481,40.6616160719359,11/13/2020,,,
64,,High tide was at 7 and was much higher then photo. ,6.0,07:53,,-73.8523638854481,40.6616160719359,11/14/2020,,,
65,,,8.0,07:26,,-73.8206521999988,40.6031777999993,11/15/2020,,,
66,,,12.0,07:41,,-73.8206612999987,40.6031798999993,11/15/2020,,,
67,,,5.0,07:44,,-73.8314293718963,40.6578787443566,11/15/2020,,,
68,,,18.0,08:01,,-73.8206760999987,40.6031807999993,11/15/2020,,,
69,,,12.0,07:58,,-73.8523638854481,40.6616160719359,11/15/2020,,,
70,,,5.0,08:13,,-73.829335590745,40.6565302026484,11/15/2020,,,
71,,,,20:40,,-73.8295490342197,40.6509853221146,11/15/2020,,,
72,,,8.0,20:27,,-73.8301350147604,40.6533299808639,11/15/2020,,,
73,,,18.0,20:04,,-73.8523638854481,40.6616160719359,11/15/2020,,,
74,,,18.0,20:05,,-73.8523638854481,40.6616160719359,11/15/2020,,,
75,,,12.0,22:49,,-73.8016063392762,40.8643780218487,11/11/2020,,,
76,,Both from nearby water body and rain.,6.0,10:51,,-73.8068063976901,40.862483147939,11/11/2020,,,
77,,"This location has rain as the primary cause but there's also a sinkhole that contributes to it.   Furthermore, across the street has poor sidewalks and no drainage.  

This issue has been reported to numerous city agencies but nothing is done. ",8.0,22:56,,-73.7889999029175,40.8534300238143,11/11/2020,,,
78,,,6.0,22:59,,-73.7879522593172,40.8518924984315,11/11/2020,,,
79,,,7.0,23:00,,-73.7852514319987,40.8501040644848,11/11/2020,,,
80,,,4.0,23:02,,-73.7871499330677,40.8490100367223,11/11/2020,,,
81,,,4.0,23:03,,-73.7868305196925,40.8482325363653,11/11/2020,,,
82,,,6.0,09:37,,-73.7895421260625,40.8493103333324,11/13/2020,,,
83,,Similar to past complaints on this site. ,6.0,15:37,,-73.7889999029175,40.8534300238143,11/13/2020,,,
84,,,10.0,15:48,,-73.801679073241,40.8642999423852,11/13/2020,"roads_streets,sidewalks,other. Parkland.",,
85,,,,14:07,,-73.8127362589081,40.864257370036,11/16/2020,"roads_streets,sidewalks,other. Parkland bus stop",,
86,,,6.0,22:32,,-73.8015980700432,40.8642490375725,11/16/2020,,,
87,,,9.0,22:47,,-73.8016179996273,40.8643956215822,11/17/2020,,,
88,,17th St. Hamilton Beach,,08:45,,-73.8283699999999,40.65216,10/17/2020,,,
89,,"Beach Channel Drive & Beach 39th intersection Far Rockaway Queens, NY",,10:00,,-73.7714983694722,40.5958730971279,2/9/2016,,,
90,,,,08:41,,-74.0010528973275,40.5770611332097,11/20/2020,,,
91,,Looks like accumulation from past two days rainfall. Area is low ground.,8.0,11:18,,-73.8606668372505,40.6726094129944,11/24/2020,,,
92,,,7.0,12:00,,-73.7640606396664,40.5928133829313,11/24/2020,,,
93,,,6.0,12:18,,-73.7698592985251,40.5920742360848,11/24/2020,,,
94,,Rain water from 3 days ago.,8.0,13:35,,-73.8523638854481,40.6616160719359,11/24/2020,,,
95,,This is an Urban Renewal Site that is fenced in and act as a catchment basin from heavy rain,6.0,10:53,,-73.8523638854481,40.6616160719359,11/30/2020,,,
96,,Reoccurring flood ,10.0,12:08,,-73.8578834307652,40.6707967617126,11/30/2020,,,
97,,Flooding @ Beach 38th and Edgemere road.  Manhole cover submerged here.  Flooded often here.,10.0,10:53,,-73.7702139624254,40.5939203106905,11/27/2020,,,
98,,Hamilton/Howard Beach Russell Street,,10:30,,-73.8299198932154,40.6560000570752,9/18/2020,,,
99,,Hamilton/Howard Beach,,07:45,,-73.8393336216735,40.6624550640587,10/16/2020,,,
100,,,,14:27,,-73.8387805341589,40.662639108405,10/27/2020,,,
101,,Hamilton/Howard Beach,,10:11,,-73.8390172133883,40.6627391870928,10/19/2020,,,
102,,158th Ave & 101 St Hamilton/Howard Beach,,08:42,,-73.8330226479552,40.6619071130224,10/16/2020,,,
103,,164 Ave & 95 St Hamilton/Howard Beach,,08:42,,-73.8358414779146,40.6511490316124,10/16/2020,,,
104,,161 Ave & 99 St Hamilton/Howard Beach,,08:42,,-73.8335055464807,40.6567232952602,10/16/2020,,,
105,,,6.0,09:03,,-73.8523638854481,40.6616160719359,12/15/2020,,,
106,,,8.0,11:25,,-73.830083713724,40.6533026238049,12/17/2020,,,
107,,,18.0,10:15,,-73.829391577468,40.6520679168778,12/17/2020,"roads_streets,sidewalks,parking_lots,property,other. Lots ",,
108,,,24.0,10:15,,-73.8523638854481,40.6616160719359,12/17/2020,,,
109,,,24.0,10:00,,-73.8523638854481,40.6616160719359,12/17/2020,,,
110,,,10.0,11:25,,-73.9550025407913,40.7690914743534,12/20/2020,,,
111,,,16.0,10:30,,-73.8523638854481,40.6616160719359,1/16/2021,,,
112,,,16.0,10:30,,-73.8523638854481,40.6616160719359,1/16/2021,,,
113,,,4.0,14:02,,-73.8106718,40.5896325,1/16/2021,,,
114,,,2.0,14:04,,-73.8110972,40.5895363,1/16/2021,,,
115,,John Doyle,,21:28,,-73.841840211944,40.6607782297139,10/13/2020,,,
116,,John Doyle,,21:39,,-73.846269906566,40.661843951903,10/13/2020,,,
117,,John Doyle,,23:32,,-73.8409838259809,40.6608998285055,10/29/2020,,,
118,,John Doyle,,15:18,,-73.8432229171251,40.6622183244444,10/29/2020,,,
119,,,5.0,21:03,,-73.7895207314764,40.8480338230586,11/1/2020,,,
120,,,6.0,11:30,,-73.8124209522103,40.5903004778686,2/2/2021,,,
121,,,8.0,23:58,,-73.8124551428745,40.5902581195461,2/1/2021,,,
122,,,1.0,23:40,,-73.7868711093061,40.8484057969728,8/3/2020,,,
123,,,2.0,18:37,,-73.8018704273705,40.8640274755891,8/13/2020,,,
124,,,2.0,00:27,,-73.8018234802122,40.8640696539353,7/11/2020,,,
125,,,2.0,19:38,,-73.8018335389869,40.8640105204736,6/5/2020,,,
126,,,4.0,00:27,,-73.8019152023558,40.8639299260109,5/30/2020,,,
127,,,6.0,20:02,,-73.8018341908764,40.8638372145894,5/8/2020,,,
128,,,1.0,00:06,,-73.8523638854481,40.6616160719359,12/31/2019,,,
129,,,4.0,16:20,,-73.8523638854481,40.6616160719359,12/31/2019,,,
130,,,2.0,14:49,,-73.8021018393151,40.8627090338812,4/13/2020,,,
131,,,2.0,19:24,,-73.801717498441,40.8640309814892,4/30/2020,,,
132,,,2.0,02:39,,-73.8016615878727,40.8640806326614,4/24/2020,,,
133,,,2.0,21:35,,-73.8018483766205,40.8641242380462,5/23/2020,,,
134,,,2.0,22:03,,-73.801718909122,40.8641732599609,5/3/2020,,,
135,,,2.0,02:46,,-73.8523638854481,40.6616160719359,5/2/2020,,,
136,,,2.0,23:57,,-73.8017916579842,40.864189121623,12/30/2019,,,
137,,,2.0,22:06,,-73.8016934910005,40.8641301455036,9/2/2020,,,
139,,,1.0,23:44,,-73.795105878758,40.8700933674887,11/1/2020,,,
140,,,1.0,21:30,,-73.8018080933904,40.8639908591165,10/13/2020,,,
141,,,1.0,23:18,,-73.7872499452321,40.8488961831652,3/19/2020,,,
142,,,1.0,12:29,,-73.786317327804,40.8457397289773,3/29/2020,,,
143,JBEditor,,5.0,08:00,,-73.7713549070858,40.595160033831,11/15/2020,,,
144,,,4.0,08:05,,-73.8167623837317,40.608781893357,2/27/2021,,,
145,,,1.0,08:12,,-73.8173392152853,40.608988529898,2/27/2021,,,
146,,,6.0,08:13,,-73.8179166415939,40.6091719354578,2/27/2021,,,
147,,"Most of the flooding pictures from 6th road are multiple cause flooding, with rain pooling Plus water not being able to drain from the storm drains and backing up into the street",8.0,08:16,,-73.8186196185917,40.6094446711085,2/27/2021,,,
