"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1976-09-01","1977-08-31",35070000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1977-09-01","1978-08-31",48097000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1978-09-01","1979-08-31",50859000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1979-09-01","1980-08-31",61525000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1980-09-01","1981-08-31",48921000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1981-09-01","1982-08-31",54135000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1982-09-01","1983-08-31",59610000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1983-09-01","1984-08-31",44518000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1984-09-01","1985-08-31",50644000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1985-09-01","1986-08-31",57127000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1986-09-01","1987-08-31",52868000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1987-09-01","1988-08-31",52736000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1988-09-01","1989-08-31",42153000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1989-09-01","1990-08-31",52354000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1990-09-01","1991-08-31",52416000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1991-09-01","1992-08-31",54065000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1992-09-01","1993-08-31",59612000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1993-09-01","1994-08-31",50885000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1994-09-01","1995-08-31",68444000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1995-09-01","1996-08-31",59174000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1996-09-01","1997-08-31",64780000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1997-09-01","1998-08-31",73176000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1998-09-01","1999-08-31",74598000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"1999-09-01","2000-08-31",72224000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2000-09-01","2001-08-31",75055000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2001-09-01","2002-08-31",78672000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2002-09-01","2003-08-31",75010000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2003-09-01","2004-08-31",66783000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2004-09-01","2005-08-31",85016000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2005-09-01","2006-08-31",83507000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2006-09-01","2007-08-31",87001000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2007-09-01","2008-08-31",72859000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2008-09-01","2009-08-31",80749000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2009-09-01","2010-08-31",91470000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2010-09-01","2011-08-31",90663000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2011-09-01","2012-08-31",84291000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2012-09-01","2013-08-31",82791000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2013-09-01","2014-08-31",91363000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2014-09-01","2015-08-31",106905000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2015-09-01","2016-08-31",106869000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2016-09-01","2017-08-31",116931000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2017-09-01","2018-08-31",120065000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2018-09-01","2019-08-31",120515000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2019-09-01","2020-08-31",96644000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2020-09-01","2021-08-31",114749000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2021-09-01","2022-08-31",121504000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2022-09-01","2023-08-31",116221000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"United States",1215,"World",0,"tonne",14,"annual",9,"2023-09-01","2024-08-31",113344000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1977-10-01","1978-09-30",9541000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1978-10-01","1979-09-30",10240000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1979-10-01","1980-09-30",15156000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1980-10-01","1981-09-30",15200000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1981-10-01","1982-09-30",12835000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1982-10-01","1983-09-30",14750000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1983-10-01","1984-09-30",15541000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1984-10-01","1985-09-30",18278000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1985-10-01","1986-09-30",14100000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1986-10-01","1987-09-30",17300000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1987-10-01","1988-09-30",18020000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1988-10-01","1989-09-30",23600000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1989-10-01","1990-09-30",20340000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1990-10-01","1991-09-30",15750000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1991-10-01","1992-09-30",19300000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1992-10-01","1993-09-30",22500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1993-10-01","1994-09-30",24700000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1994-10-01","1995-09-30",25900000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1995-10-01","1996-09-30",24150000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1996-10-01","1997-09-30",27300000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1997-10-01","1998-09-30",32500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1998-10-01","1999-09-30",31300000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"1999-10-01","2000-09-30",34700000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2000-10-01","2001-09-30",39500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2001-10-01","2002-09-30",43500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2002-10-01","2003-09-30",52000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2003-10-01","2004-09-30",51000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2004-10-01","2005-09-30",53000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2005-10-01","2006-09-30",57000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2006-10-01","2007-09-30",59000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2007-10-01","2008-09-30",61000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2008-10-01","2009-09-30",57800000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2009-10-01","2010-09-30",69000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2010-10-01","2011-09-30",75300000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2011-10-01","2012-09-30",66500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2012-10-01","2013-09-30",82000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2013-10-01","2014-09-30",86200000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2014-10-01","2015-09-30",97100000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2015-10-01","2016-09-30",95700000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2016-10-01","2017-09-30",114900000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2017-10-01","2018-09-30",123400000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2018-10-01","2019-09-30",120500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2019-10-01","2020-09-30",128500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2020-10-01","2021-09-30",139500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2021-10-01","2022-09-30",130500000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2022-10-01","2023-09-30",162000000,"USDA PS&D, Gro Intelligence"
"Production Quantity (mass)",860032,"Soybeans",270,"Brazil",1029,"World",0,"tonne",14,"annual",9,"2023-10-01","2024-09-30",155000000,"USDA PS&D, Gro Intelligence"
